alpha,n,k,all_component_b,min_margin_a,worst_stability_median,worst_stability_max,max_generations_over_10x,median_cost_ns,05_100_reach,05_100_locked_moved,05_100_rep3_baseline,05_100_rep3_ceiling,05_100_rep3_se,05_100_rep3_drop_over_se,05_100_rep3_baseline_without_locks,05_100_rep3_ceiling_without_locks,05_100_rep3_se_without_locks,05_100_rep3_drop_over_se_without_locks,05_300_reach,05_300_locked_moved,05_300_rep3_baseline,05_300_rep3_ceiling,05_300_rep3_se,05_300_rep3_drop_over_se,05_300_rep3_baseline_without_locks,05_300_rep3_ceiling_without_locks,05_300_rep3_se_without_locks,05_300_rep3_drop_over_se_without_locks,15_100_reach,15_100_locked_moved,15_100_rep3_baseline,15_100_rep3_ceiling,15_100_rep3_se,15_100_rep3_drop_over_se,15_100_rep3_baseline_without_locks,15_100_rep3_ceiling_without_locks,15_100_rep3_se_without_locks,15_100_rep3_drop_over_se_without_locks,15_300_reach,15_300_locked_moved,15_300_rep3_baseline,15_300_rep3_ceiling,15_300_rep3_se,15_300_rep3_drop_over_se,15_300_rep3_baseline_without_locks,15_300_rep3_ceiling_without_locks,15_300_rep3_se_without_locks,15_300_rep3_drop_over_se_without_locks
0.1,1,3,True,135.2340425531915,23.4976,212.045,41,237.9925,6,0,0.09062516565579103,0.08508652546853333,0.027914212622178768,0.19841649349826418,0.04564643520291179,0.03973855233650358,0.011727422696718358,0.5037665153880223,10,0,0.13958775324289352,0.11206489302225173,0.034248190782269844,0.8036296105571297,0.08737235066266585,0.05801463309398128,0.018531657005788613,1.5841927982756374,6,0,0.018730548899721835,0.016392113525572176,0.009507478083025253,0.24595748249209495,0.018730548899721835,0.016392113525572176,0.009507478083025253,0.24595748249209495,10,0,0.041387233810933545,0.03165565788496807,0.017179348837988093,0.5664694289486913,0.041387233810933545,0.03165565788496807,0.017179348837988093,0.5664694289486913
0.1,1,6,True,71.33925198337741,14.9519,150.088,30,330.20500000000004,10,1,0.09062516565579103,0.06510353227125441,0.027914212622178768,0.9142881345060339,0.04564643520291179,0.0383780081188165,0.011727422696718358,0.6197804301988008,13,1,0.13958775324289352,0.08803816505768614,0.034248190782269844,1.5051769745423866,0.08737235066266585,0.053862633332225414,0.018531657005788613,1.8082418274832752,8,0,0.018730548899721835,0.016392113525572176,0.009507478083025253,0.24595748249209495,0.018730548899721835,0.016392113525572176,0.009507478083025253,0.24595748249209495,13,0,0.041387233810933545,0.02829995318698149,0.017179348837988093,0.7618030664242995,0.041387233810933545,0.02829995318698149,0.017179348837988093,0.7618030664242995
0.1,1,10,True,52.59825327510917,10.6797,113.177,26,443.85125,11,2,0.09062516565579103,0.049797409822274825,0.027914212622178768,1.4626153488949638,0.04564643520291179,0.0383780081188165,0.011727422696718358,0.6197804301988008,15,2,0.13958775324289352,0.0676784190809235,0.034248190782269844,2.0996535151047224,0.08737235066266585,0.052428941575953014,0.018531657005788613,1.8856062939108897,8,0,0.018730548899721835,0.016392113525572176,0.009507478083025253,0.24595748249209495,0.018730548899721835,0.016392113525572176,0.009507478083025253,0.24595748249209495,14,0,0.041387233810933545,0.02725129546886068,0.017179348837988093,0.8228448281354271,0.041387233810933545,0.02725129546886068,0.017179348837988093,0.8228448281354271
0.1,2,3,True,90.11342155009451,23.4976,212.045,41,237.9925,16,2,0.09062516565579103,0.030997498553419454,0.027914212622178768,2.1361042100465846,0.04564643520291179,0.018324769432037445,0.011727422696718358,2.3297246528446243,22,2,0.13958775324289352,0.03809298321605743,0.034248190782269844,2.9635074936390375,0.08737235066266585,0.020871143320095875,0.018531657005788613,3.5885192199379383,10,0,0.018730548899721835,0.015093537414965988,0.009507478083025253,0.3825421897368771,0.018730548899721835,0.015093537414965988,0.009507478083025253,0.3825421897368771,17,0,0.041387233810933545,0.016945676943973347,0.017179348837988093,1.4227289461002992,0.041387233810933545,0.016945676943973347,0.017179348837988093,1.4227289461002992
0.1,2,6,True,47.50566037735849,14.9519,150.088,30,330.20500000000004,19,3,0.09062516565579103,0.01668149818066761,0.027914212622178768,2.648961246944602,0.04564643520291179,0.017793598059378794,0.011727422696718358,2.37501775657212,26,3,0.13958775324289352,0.016355460887189602,0.034248190782269844,3.5982132060389245,0.08737235066266585,0.017445824946335592,0.018531657005788613,3.7733552749485795,14,0,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,21,0,0.041387233810933545,0.00044679551220601355,0.017179348837988093,2.3831193303553726,0.041387233810933545,0.00044679551220601355,0.017179348837988093,2.3831193303553726
0.1,2,10,True,37.5,10.6797,113.177,26,443.85125,20,3,0.09062516565579103,0.01646891314665401,0.027914212622178768,2.6565769027000035,0.04564643520291179,0.01756684068976428,0.011727422696718358,2.3943534090405834,27,3,0.13958775324289352,0.015011374865684227,0.034248190782269844,3.63745866662545,0.08737235066266585,0.0160121331900632,0.018531657005788613,3.8507197413761936,14,0,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,21,0,0.041387233810933545,0.00044679551220601355,0.017179348837988093,2.3831193303553726,0.041387233810933545,0.00044679551220601355,0.017179348837988093,2.3831193303553726
0.1,3,3,True,96.1573373676248,23.4976,212.045,41,237.9925,17,3,0.09062516565579103,0.017179471342535113,0.027914212622178768,2.6311218341477014,0.04564643520291179,0.018324769432037445,0.011727422696718358,2.3297246528446243,24,3,0.13958775324289352,0.01783816702270631,0.034248190782269844,3.554920229048026,0.08737235066266585,0.019027378157553426,0.018531657005788613,3.688011950780438,11,0,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,18,0,0.041387233810933545,0.0011459006576198805,0.017179348837988093,2.3424248225479545,0.041387233810933545,0.0011459006576198805,0.017179348837988093,2.3424248225479545
0.1,3,6,True,50.30234416622269,14.9519,150.088,30,330.20500000000004,19,3,0.09062516565579103,0.01668149818066761,0.027914212622178768,2.648961246944602,0.04564643520291179,0.017793598059378794,0.011727422696718358,2.37501775657212,27,3,0.13958775324289352,0.015011374865684227,0.034248190782269844,3.63745866662545,0.08737235066266585,0.0160121331900632,0.018531657005788613,3.8507197413761936,14,0,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,21,0,0.041387233810933545,0.00044679551220601355,0.017179348837988093,2.3831193303553726,0.041387233810933545,0.00044679551220601355,0.017179348837988093,2.3831193303553726
0.1,3,10,True,37.562370062370064,10.6797,113.177,26,443.85125,20,3,0.09062516565579103,0.01646891314665401,0.027914212622178768,2.6565769027000035,0.04564643520291179,0.01756684068976428,0.011727422696718358,2.3943534090405834,27,3,0.13958775324289352,0.015011374865684227,0.034248190782269844,3.63745866662545,0.08737235066266585,0.0160121331900632,0.018531657005788613,3.8507197413761936,14,0,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,0.018730548899721835,0.014668367346938778,0.009507478083025253,0.4272617320081671,21,0,0.041387233810933545,0.00044679551220601355,0.017179348837988093,2.3831193303553726,0.041387233810933545,0.00044679551220601355,0.017179348837988093,2.3831193303553726
0.3,1,3,True,45.07801418439716,23.4976,212.045,41,237.9925,17,2,0.09062516565579103,0.04145668222688885,0.027914212622178768,1.7614139468808154,0.04564643520291179,0.029481232017071462,0.011727422696718358,1.3784105513962397,21,2,0.13958775324289352,0.055507392529760904,0.034248190782269844,2.45503072695626,0.08737235066266585,0.03944651325471292,0.018531657005788613,2.5861603953161154,14,0,0.018730548899721835,0.009353741496598641,0.009507478083025253,0.9862560103992919,0.018730548899721835,0.009353741496598641,0.009507478083025253,0.9862560103992919,21,0,0.041387233810933545,0.02302789170907402,0.017179348837988093,1.0686867281757593,0.041387233810933545,0.02302789170907402,0.017179348837988093,1.0686867281757593
